id,RMSE,MAPE
Kuwait,0.07160365762935694,0.00171486831264519
Lebanon,0.15342650958257786,0.002266309798240254
Liberia,2.4480595896479394e-05,0.0031303877293917767
Libya,0.02781263020730559,0.00255072152650342
Saint Lucia,0.4256377712309627,0.08378183140710536
Liechtenstein,0.0012254587933828239,0.002324779719022769
Sri Lanka,0.014475020106796755,0.0049069321087108625
Lesotho,0.07276566061663066,0.0356725715626516
Lithuania,0.17216765393723593,0.0025236089934880654
Luxembourg,0.028095966538601625,0.00196283386795274
Latvia,0.08157134302796293,0.0039156575911391215
Morocco,0.0010912191602887005,0.0003214811972292955
Monaco,0.001866501215035417,0.0038210050076557494
Moldova,0.14955115109044326,0.00228176016666541
Madagascar,0.0023154423850888085,0.009435378426971923
Maldives,0.007611627226671749,0.0024191691262992385
Mexico,0.06704804157336745,0.0011254988699655963
North Macedonia,0.043437937778870235,0.0018479368882131047
Mali,3.477884376986941e-06,0.0006239252511465092
Malta,0.01472528379529597,0.0026009027265059817
Myanmar,4.0376533752859525e-05,0.00020801277595171292
Montenegro,0.019094868684809335,0.0013056802906261458
Mongolia,0.0003224303984380295,0.010222885069347801
Northern Mariana Islands,0.0006639131163171644,0.0320764415384771
Mozambique,0.004179957146095359,0.005296207451955825
Mauritania,5.757345441342898e-05,0.0006390290294713743
Mauritius,0.0001387358262351841,0.012263043170923001
Malawi,0.0002040641415309165,0.0014976850014783857
Malaysia,0.04368444698675821,0.003020849236876437
Namibia,0.004371673468887607,0.002224367531126545
Niger,1.947923368050528e-05,0.0016357334663791416
Nigeria,0.0012700877830684766,0.0022951158498193598
Nicaragua,0.00035680258700367356,0.004871609138597721
Netherlands,0.032850887995234807,0.0005647783013552789
Norway,0.00870388387165761,0.002265561821733455
Nepal,6.189962106521251e-05,0.00011725557438645775
New Zealand,1.3279428689467938e-06,0.0008615481271034818
Oman,0.022547151675300588,0.0017290461316934594
Pakistan,0.0027488372120889433,0.0007724113082308284
Panama,0.011530019842937186,0.0004490047655840359
Peru,0.1903931441410025,0.0015664950486798364
Philippines,0.015191893119375759,0.0017668078356678945
Papua New Guinea,0.0015045106544597084,0.05719387551084444
Poland,0.3136176696357448,0.0014791869368292652
Puerto Rico,0.005070398819712233,0.0007986466218661998
Portugal,2.836078087365906,0.0036737818946039097
Paraguay,0.01942329636535173,0.0018561395324977728
Palestine,0.08680151761485078,0.0016760466361353497
Qatar,0.003087222974794393,0.0003303086217309373
Kosovo,0.2246552068980351,0.008140365318601652
Romania,0.04381191330604273,0.0008816676409325136
Russia,0.007299657333019494,0.00018021309575958044
Rwanda,0.00016670310497974577,0.0019031110559381821
Saudi Arabia,6.361349555153392e-05,8.346642155633029e-05
Sudan,0.0003217704958332509,0.0028090724725313176
Senegal,0.00046429769837084923,0.001966817991548318
Singapore,4.236050144699622e-06,6.209221110155902e-05
Sierra Leone,7.516188563001477e-06,0.0014404776932149506
El Salvador,0.17336682922904706,0.013458974635568917
San Marino,0.01129918180088374,0.0047815059811989625
Somalia,0.0015996167228592576,0.01802132864214026
Serbia,0.045907336288868734,0.0009961993123216001
South Sudan,0.012133413092348654,0.03811383432421565
Sao Tome and Principe,0.001965480545574182,0.009738182627914913
Suriname,0.0005633520563441344,0.0013272299956793216
Slovakia,0.1937457571520028,0.0028340429773362212
Slovenia,0.5528222891678305,0.005357701743413836
Sweden,0.46969990508307735,0.0024748429455741846
Swaziland,0.00262888395147848,0.0025871637253096487
Seychelles,0.13715685319207363,0.043033821685232294
Syria,3.0947074528446023e-05,0.0012895824816550436
Chad,2.790733984174168e-05,0.003704566440527733
Togo,0.00025098301166503675,0.005188817767224788
Thailand,0.001929645762638669,0.008923276261623323
Tajikistan,3.2317648042572735e-08,2.210081507806008e-05
Timor-Leste,2.8260350649173116e-05,0.03520494737495539
Trinidad and Tobago,1.632232522006873e-05,0.0003963434634945603
Tunisia,0.004669161045494745,0.0007303336960493253
Turkey,0.015063470260003719,0.00031628773384375606
Taiwan,5.55618289581389e-07,0.0028683555168240787
Tanzania,7.31137756175577e-09,0.000808967987981047
Uganda,3.962723806413195e-06,0.0002554014261262569
Ukraine,0.15841927425159083,0.0015974794135111801
Uruguay,0.011823752345870027,0.0028054907350778496
United States,1.622669938480444,0.000589323921099103
Uzbekistan,1.6797593977661583e-05,0.00019659029616808253
Saint Vincent and the Grenadines,0.031798838580891026,0.03097411036540047
Venezuela,0.00041095471842648995,0.000605774963716504
"Virgin Islands, U.S.",0.0017683845180574826,0.004264226965405901
Vietnam,1.6836558280624952e-05,0.013119938848356754
Yemen,1.1570192483522032e-05,0.006235736841384181
South Africa,0.012550225010867277,0.000448508891297972
Zambia,0.012047518698612744,0.004336279335615779
Zimbabwe,0.0003235004327460892,0.001426467000760372
China,2.6788086297108144e-07,0.0001317905233070389
Japan,0.0005818383732618481,0.0005170302619387456
