id,RMSE,MAPE
Croatia,0.053308395160968754,0.0016927014444700476
Haiti,0.00028349129146313653,0.003822694658796543
Hungary,0.022560718747276373,0.001070250532332416
Indonesia,0.026856272158140904,0.0018323615088953922
India,0.004325922000270913,0.00017417679655567156
Ireland,0.16915549228536755,0.0029742544905005204
Iran,0.0083296386924386,0.000465119749965143
Iraq,0.0036335869804397345,0.00042562733267707153
Iceland,0.0028606178821221303,0.004163812826570097
Israel,1.5371808953418806,0.004732374914940732
Italy,0.2699749825228527,0.001263802721756125
Jamaica,0.0009508476568689083,0.002259924776521547
Jordan,0.061160039756025644,0.001562578398162856
Kazakhstan,0.0064648857009479,0.001036166063160592
Kenya,9.204267272922913e-05,0.0005468021655732196
Kyrgyzstan,0.008256920532494645,0.0021522908814875373
Cambodia,2.476865954184257e-05,0.02901385210729249
Kuwait,0.003951326125957028,0.0006301955164500267
Lebanon,0.6986826107746836,0.006529070000670283
Liberia,0.0002649287834919557,0.01033385638811842
Libya,0.040490790485871765,0.00371555743050554
Saint Lucia,0.18306848054111494,0.09315458838610186
Liechtenstein,0.0036432151335870676,0.00329279988070205
Sri Lanka,0.004512071988924781,0.003308959410753549
Lesotho,0.05647059604817692,0.04136110210783952
Lithuania,0.19513742452437305,0.003250138804397524
Luxembourg,0.17551560866142657,0.004473723377957493
Latvia,0.5255822700567182,0.013221397734052724
Morocco,0.005709696095738638,0.0007581711717264208
Monaco,0.010549018738874486,0.01289968417625277
Moldova,0.028986012976325054,0.0013040262708339844
Madagascar,0.005395148351762165,0.012057717763248365
Maldives,0.007444806907280923,0.0025049363593026837
Mexico,0.3061280878012381,0.002805306277207493
North Macedonia,0.02484003175154893,0.0019405406724415973
Mali,1.9514941274336672e-05,0.001970961836276262
Malta,0.01244183338688425,0.00386223936327424
Myanmar,0.0001395190241142536,0.0005053372756369899
Montenegro,0.010966737219696349,0.0011382842632890271
Mongolia,0.00010391386667012746,0.007904761230905919
Northern Mariana Islands,0.00023474809564485405,0.022739890791912624
Mozambique,0.014462728346147372,0.01577702937308599
Mauritania,0.0002270105799738788,0.0013975634750798811
Mauritius,0.00011863900244786088,0.014341066955636394
Malawi,0.04730323301683607,0.03645557393147926
Malaysia,0.1791765354700006,0.008967850165352082
Namibia,0.04005468618027359,0.007750001725069539
Niger,3.833466339372426e-05,0.005261536571547626
Nigeria,0.0009417557946908899,0.0029531506535083983
Nicaragua,0.0011931449395658255,0.012559457974127664
Netherlands,0.10643441964611113,0.0010229767483787952
Norway,0.00648651070536507,0.002301444143663932
Nepal,0.0007141425157194312,0.00038550109039378817
New Zealand,6.0748959778085995e-05,0.006011616192342122
Oman,0.025091383853034763,0.0020577359547815735
Pakistan,0.005287555740043483,0.0014804221447308017
Panama,0.37452375770787655,0.003260949448682567
Peru,0.1030964771422005,0.0010609818680809774
Philippines,0.010314693759440306,0.0012772293720486028
Papua New Guinea,5.2014955395217055e-05,0.01949903209116053
Poland,0.42279468406168386,0.0020963895776131406
Puerto Rico,0.05480532544137949,0.0026765585085004166
Portugal,2.2148295560041507,0.005493848458488725
Paraguay,0.05275962742268074,0.00380481497665782
Palestine,0.006045796770464521,0.0008038104314432743
Qatar,0.002704606917748846,0.00044716761748309433
Kosovo,0.04894084874900014,0.0040737914119879926
Romania,0.12199950808368655,0.0016013419573978997
Russia,0.11106931250604701,0.0008965181003683959
Rwanda,0.022231457054975524,0.022470021642431656
Saudi Arabia,0.0003154595889593366,0.00021186102928639008
Sudan,0.003337719554870082,0.008208887286555732
Senegal,0.0026085298573118956,0.005259495968055635
Singapore,0.0003634997192350018,0.0006152837548855045
Sierra Leone,0.0008031145516809204,0.014706050188650153
Serbia,0.03818069161590719,0.0010832915511848635
South Sudan,0.001296258406714751,0.020641011971875168
Sao Tome and Principe,0.00048510827270044056,0.006568165625233397
Suriname,0.006373363472693149,0.005843621594095871
Slovakia,1.6349556566895977,0.008731101936027658
Slovenia,1.1823525076154189,0.00784545958658639
Sweden,0.40619368791653915,0.0027633654686748032
Swaziland,0.012645308503839332,0.0072746237202722455
Seychelles,0.07692925499089076,0.056255462623083514
Syria,1.2102009649312033e-05,0.000838239919019606
Chad,0.0001600435545005399,0.013005385965061213
Togo,0.0002564480607206426,0.007487568228383234
Thailand,0.012924885784078353,0.04536369267799176
Tajikistan,6.298709603497426e-06,0.0005459030889374872
Timor-Leste,0.00017449123482222005,0.16984799400250203
Trinidad and Tobago,0.00011185109763525688,0.001147462390159398
Tunisia,0.1840159622655288,0.006981944998254761
Turkey,0.10610674649145187,0.0008260635916800298
Taiwan,1.8859548914331243e-06,0.0058108464418882705
Tanzania,7.31137756175577e-09,0.000808967987981047
